hour,week,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,1,6,31,135,208,696,1750,3182,3732,5258,4415,3224
1,1,5,155,419,875,1902,5608,10785,12230,19649,15520,5969
2,1,34,257,713,1459,3034,8681,17136,20978,32826,27711,9310
3,1,18,236,779,1528,3031,9092,16902,20190,32145,28845,9285
4,1,11,144,394,852,1683,4423,7309,8652,12536,12643,4398
5,1,23,124,530,1164,2124,6073,10745,12353,18134,16561,5749
6,1,25,224,743,1465,2954,8379,16275,19791,31244,28234,9460
7,1,25,249,822,1434,3025,8691,16462,20740,33262,28638,9881
8,1,24,214,813,1634,3183,8924,16434,20998,32717,29927,11606
9,1,19,205,794,1598,3022,8688,16517,20691,31822,29928,15686
10,1,8,141,478,821,2168,5842,10086,12622,19126,18392,17938
11,1,12,98,381,549,1608,4452,8099,11497,18848,17555,17737
12,1,8,106,346,557,1660,4407,7966,11162,17543,17133,10344
13,1,12,157,324,667,1911,4389,7668,10118,14153,15027,10468
14,1,5,118,389,751,1956,4171,7509,9228,11902,13444,16070
15,1,12,107,287,581,1741,3940,6345,8145,9714,10291,14690
16,1,6,53,190,348,1270,2676,4282,5342,6385,6663,14303
17,1,2,27,99,180,767,1830,2732,3509,4131,4116,13076
18,1,3,17,50,122,538,1297,2182,2869,3168,2931,8224
19,1,0,2,26,48,475,1166,1858,2237,2610,2606,8104
20,1,0,9,23,39,442,1156,1791,2091,2203,2623,7543
21,1,0,14,16,41,401,960,1745,2079,2530,2538,6313
22,1,0,6,26,52,305,924,1585,2073,2338,2422,5089
23,1,2,11,42,105,378,959,1846,2212,2613,2486,4515
0,2,4,37,145,295,816,1855,4003,4993,6531,5519,4051
1,2,18,121,555,1143,2328,5903,12486,15782,21583,16555,6863
2,2,18,231,856,1741,3399,9054,18351,23101,33290,29118,10655
3,2,24,241,798,1693,3325,9186,17533,22560,32698,29595,11260
4,2,6,146,491,859,1856,4595,7363,9654,13126,13137,5139
5,2,11,132,677,1141,2419,6115,10927,14540,18318,17847,6766
6,2,21,182,818,1705,3242,8616,17477,23074,32803,29961,10205
7,2,21,304,800,1613,3290,8723,18067,22800,33011,31188,10941
8,2,21,225,777,1683,3525,8887,17283,24068,33187,31299,12927
9,2,24,235,847,1697,3527,8963,17263,23157,33182,30380,17096
10,2,8,150,478,1049,2498,5920,10832,14256,19557,18858,19345
11,2,13,129,467,720,1741,4658,8699,12095,18007,17382,19782
12,2,9,104,436,611,1858,4497,8324,11931,16893,17864,10521
13,2,17,107,456,686,1846,4227,7738,10626,13700,16065,11403
14,2,10,160,502,756,1817,4484,7510,10035,12369,13124,17057
15,2,5,167,346,578,1684,4282,6521,8646,10602,10127,16424
16,2,11,94,199,394,1228,2953,4579,5608,7156,6925,15680
17,2,4,31,104,174,788,2036,3023,3622,5007,4379,14138
18,2,3,23,56,122,568,1533,2128,2856,3383,3070,8569
19,2,0,10,45,78,569,1293,1807,2317,2839,2583,8347
20,2,0,14,17,59,457,1197,1826,2206,2704,2328,7985
21,2,0,8,32,52,460,990,1919,2335,2736,2448,6693
22,2,1,14,16,51,375,927,1663,2145,2403,2085,6910
23,2,2,15,28,103,444,946,1922,2311,2818,2411,4475
0,3,3,35,160,295,770,2216,4380,5460,6523,5663,4203
1,3,16,183,626,1096,2329,6201,13247,16504,20689,17311,7117
2,3,21,271,885,1679,3353,9303,19004,24025,32618,29391,10417
3,3,26,242,924,1629,3227,9046,17751,21884,32200,30128,10582
4,3,25,118,475,973,1710,4542,8126,9470,13115,13726,4872
5,3,16,154,588,1289,2321,6189,11576,14060,18344,17486,6358
6,3,16,224,697,1886,3258,8425,17288,21801,31625,30256,10623
7,3,13,258,787,1510,3194,9299,17982,22735,32321,30636,10902
8,3,11,236,802,1552,3533,10796,17947,23070,32827,31322,12544
9,3,14,237,896,1507,3530,9816,17502,22718,32486,30383,16437
10,3,13,192,550,976,2525,6608,10922,14254,20012,19354,19338
11,3,9,118,344,622,1848,4868,8254,12119,17490,16803,18626
12,3,15,118,377,575,2011,4749,8380,11389,17007,16772,11186
