rank,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011
1,ti-chi-bot,ti-srebot,afc163,leviding,siddontang,siddontang,Unknwon,otakustay,kissygallery,lifesinger,lifesinger
2,ti-srebot,sre-bot,lilin90,zz-jason,atian25,shenli,tillrohrmann,wxy,wxy,yiminghe,yyfrankyy
3,TomShawn,hound[bot],sre-bot,tqchen,reyoung,coocood,qiuyesuifeng,youyong205,otakustay,yaoweibin,yiminghe
4,dependabot[bot],TomShawn,breeswish,lujun9972,BusyJay,BusyJay,siddontang,GOLinux,leoliang,zhuzhaoyuan,pingan1927
5,paddle-bot[bot],dependabot-preview[bot],lujun9972,tiancaiamao,afc163,afc163,StephanEwen,fengmk2,yiminghe,minghe,skyblue
6,PassionPenguin,afc163,chenjiahan,luotao1,popomore,tillrohrmann,rmetzger,geekpi,youyong205,unidal,fool2fish
7,github-actions[bot],yikeke,wu-sheng,pouchrobot,shenli,fhueske,shenli,DDDBear,kener,popomore,maxbbn
8,wu-sheng,DanielZhangQD,codecov-io,afc163,wangkuiyi,Unknwon,fhueske,dead-horse,wenshao,cfsego,zvg
9,ks-ci-bot,wu-sheng,zz-jason,zentol,coocood,ngaut,afc163,leeight,minghe,iptton,czy88840616
10,lance6716,ran-huang,dcalvin,breeswish,helinwang,sqrthree,mxm,Exodia,marsqing,marsqing,zfkun
11,tisonkun,dependabot[bot],crazycs520,typhoonzero,hanfei1991,fengmk2,yyx990803,yakolee,yaoweibin,dinic,lildemon
12,spacewander,Yisaer,csuzhangxc,chenjiahan,sqrthree,zimulala,otakustay,jialinsun,twlkyao,yzprofile,negy
13,amyangfei,accesslint[bot],codecov[bot],wxy,zentol,qiuyesuifeng,leoliang,Justineo,jayli,zhaohad,YuhangGe
14,dependabot-preview[bot],terrymanu,wxy,shenli,Leopoldthecoder,benjycui,ngaut,wenshao,vintagewang,monadbobo,80Cinderella
15,DanielZhangQD,membphis,imay,allencloud,typhoonzero,yyx990803,coocood,cfsego,ainilife,liuliliujian,gwallan
16,CLAassistant,flinkbot,zombieJ,lilin90,lcy-seso,QingWei-Li,fengmk2,kissygallery,fyatao,soitun,jsw0528
17,flinkbot,paddle-bot[bot],dependabot-preview[bot],coocood,luotao1,disksing,xiangshouding,chriswong,Gourdboy,jsw0528,kingfo
18,codecov-commenter,kennytm,lonng,siddontang,fengmk2,Leopoldthecoder,mjsax,yiminghe,sirzxj,ioz9,zicjin
19,terrymanu,BusyJay,luotao1,BusyJay,qingqing01,zentol,sachingoel0101,yankun01,xudafeng,ainilife,satans17
20,lujun9972,lujun9972,tqchen,qingqing01,tiancaiamao,mxm,uce,leonindy,tinyeyeser,lepture,firede
