year,company,ac,ic,oi,op,prc,mp,st,fo
2021,Alibaba,725438.0,99536.0,23416.0,23041.0,28657.0,16518.0,213963.0,49440.0
2021,PingCAP,384368.0,138196.0,5418.0,16216.0,34208.0,13886.0,11887.0,3399.0
2021,Baidu,381570.0,56783.0,12841.0,18211.0,22728.0,13756.0,72567.0,17827.0
2021,Tencent,175900.0,13885.0,5477.0,9166.0,3297.0,7759.0,54684.0,13391.0
2021,Huawei,60954.0,9444.0,1811.0,2933.0,5678.0,2400.0,5637.0,1980.0
2021,QingCloud,59484.0,18990.0,1656.0,3261.0,2669.0,2967.0,4102.0,2229.0
2021,JD,56285.0,12159.0,2958.0,3651.0,2041.0,3058.0,6884.0,2031.0
2021,Vesoft,42855.0,3476.0,1055.0,3192.0,4349.0,2770.0,2501.0,752.0
2021,Bytedance,41315.0,2690.0,1180.0,1236.0,1214.0,991.0,19092.0,2209.0
2021,Juejin,33491.0,3782.0,637.0,738.0,5240.0,630.0,2558.0,481.0
2021,DiDi,32437.0,1835.0,929.0,1081.0,171.0,873.0,14854.0,2739.0
2021,Youzan,25316.0,3579.0,1297.0,1316.0,261.0,1140.0,4662.0,2403.0
2021,WeBank,17501.0,1048.0,537.0,1449.0,516.0,1195.0,2969.0,1203.0
2021,DCloud,16590.0,1961.0,674.0,142.0,9.0,59.0,8015.0,1562.0
2021,Linux China,14853.0,163.0,5.0,2892.0,5.0,2550.0,269.0,205.0
2021,Xiaomi,12448.0,722.0,522.0,587.0,520.0,489.0,2815.0,1016.0
2021,Meituan,12359.0,543.0,175.0,224.0,23.0,112.0,5849.0,1543.0
2021,CTrip,11928.0,1630.0,278.0,294.0,388.0,220.0,3355.0,1171.0
2021,Netease,11207.0,1212.0,514.0,351.0,540.0,85.0,2962.0,874.0
2021,Bilibili,11192.0,761.0,267.0,46.0,4.0,26.0,6106.0,1195.0
2021,360,7821.0,468.0,234.0,196.0,7.0,81.0,3638.0,823.0
2021,Deepin,7606.0,4230.0,670.0,103.0,7.0,32.0,759.0,292.0
2021,Qunar,1959.0,101.0,42.0,50.0,0.0,9.0,865.0,247.0
2021,Vipshop,1813.0,44.0,43.0,73.0,14.0,31.0,728.0,206.0
2021,Douban,567.0,25.0,8.0,25.0,1.0,19.0,259.0,50.0
2020,Alibaba,992626.0,149596.0,34756.0,32961.0,44303.0,23224.0,227154.0,74607.0
2020,PingCAP,519449.0,129807.0,7335.0,23785.0,57197.0,20953.0,17968.0,4985.0
2020,Baidu,432217.0,57436.0,13684.0,22001.0,26800.0,17602.0,71728.0,22426.0
2020,Tencent,224863.0,21155.0,8563.0,10209.0,2865.0,8641.0,69178.0,19345.0
2020,JD,81450.0,20127.0,4506.0,4485.0,2043.0,3803.0,13121.0,3319.0
2020,Huawei,60073.0,10178.0,1693.0,2768.0,3844.0,2291.0,8752.0,3165.0
2020,QingCloud,56832.0,14717.0,1953.0,3885.0,2343.0,3526.0,3569.0,2187.0
2020,Youzan,49094.0,7261.0,2760.0,1409.0,634.0,1287.0,9510.0,5822.0
2020,Vesoft,48758.0,2548.0,541.0,2492.0,6659.0,2133.0,5049.0,567.0
2020,DiDi,42435.0,3107.0,1290.0,818.0,207.0,621.0,20503.0,3907.0
2020,WeBank,32703.0,2146.0,710.0,3346.0,595.0,2898.0,5220.0,1901.0
2020,DCloud,32630.0,2934.0,1239.0,204.0,2.0,97.0,16300.0,3368.0
2020,Xiaomi,30554.0,1728.0,1590.0,947.0,2538.0,775.0,5823.0,1760.0
2020,Juejin,29351.0,3866.0,578.0,661.0,3624.0,605.0,4210.0,810.0
2020,Bytedance,28592.0,1973.0,645.0,785.0,659.0,639.0,14047.0,1671.0
